Year,Winner,Country
2022,Manchester City,England
2021,Manchester City,England
2020,Liverpool FC,England
2019,Manchester City,England
2018,Manchester City,England
2017,Chelsea FC,England
2016,Leicester City,England
2015,Chelsea FC,England
2014,Manchester City,England
2013,Manchester United,England
2012,Manchester City,England
2011,Manchester United,England
2010,Chelsea FC,England
2009,Manchester United,England
2008,Manchester United,England
2007,Manchester United,England
2006,Chelsea FC,England
2005,Chelsea FC,England
2004,Arsenal FC,England
2003,Manchester United,England
2002,Arsenal FC,England
2001,Manchester United,England
2000,Manchester United,England
1999,Manchester United,England
1998,Arsenal FC,England
1997,Manchester United,England
1996,Manchester United,England
1995,Blackburn Rovers,England
1994,Manchester United,England
1993,Manchester United,England
1992,Leeds United,England
1991,Arsenal FC,England
1990,Liverpool FC,England
1989,Arsenal FC,England
1988,Liverpool FC,England
1987,Everton FC,England
1986,Liverpool FC,England
1985,Everton FC,England
1984,Liverpool FC,England
1983,Liverpool FC,England
1982,Liverpool FC,England
1981,Aston Villa,England
1980,Liverpool FC,England
1979,Liverpool FC,England
1978,Nottingham Forest,England
1977,Liverpool FC,England
1976,Liverpool FC,England
1975,Derby County,England
1974,Leeds United,England
1973,Liverpool FC,England
1972,Derby County,England
1971,Arsenal FC,England
1970,Everton FC,England
1969,Leeds United,England
1968,Manchester City,England
1967,Manchester United,England
1966,Liverpool FC,England
1965,Manchester United,England
1964,Liverpool FC,England
1963,Everton FC,England
1962,Ipswich Town,England
1961,Tottenham Hotspur,England
1960,Burnley FC,England
1959,Wolverhampton Wanderers,England
1958,Wolverhampton Wanderers,England
1957,Manchester United,England
1956,Manchester United,England
1955,Chelsea FC,England
1954,Wolverhampton Wanderers,England
1953,Arsenal FC,England
1952,Manchester United,England
1951,Tottenham Hotspur,England
1950,Portsmouth FC,England
1949,Portsmouth FC,England
1948,Arsenal FC,England
1947,Liverpool FC,England
1939,Everton FC,England
1938,Arsenal FC,England
1937,Manchester City,England
1936,Sunderland AFC,England
1935,Arsenal FC,England
1934,Arsenal FC,England
1933,Arsenal FC,England
1932,Everton FC,England
1931,Arsenal FC,England
1930,Sheffield Wednesday,England
1929,The Wednesday FC,England
1928,Everton FC,England
1927,Newcastle United,England
1926,Huddersfield Town,England
1925,Huddersfield Town,England
1924,Huddersfield Town,England
1923,Liverpool FC,England
1922,Liverpool FC,England
1921,Burnley FC,England
1920,West Bromwich Albion,England
1915,Everton FC,England
1914,Blackburn Rovers,England
1913,Sunderland AFC,England
1912,Blackburn Rovers,England
1911,Manchester United,England
1910,Aston Villa,England
1909,Newcastle United,England
1908,Manchester United,England
1907,Newcastle United,England
1906,Liverpool FC,England
1905,Newcastle United,England
1904,The Wednesday FC,England
1903,The Wednesday FC,England
1902,Sunderland AFC,England
1901,Liverpool FC,England
1900,Aston Villa,England
1899,Aston Villa,England
1898,Sheffield United,England
1897,Aston Villa,England
1896,Aston Villa,England
1895,Sunderland AFC,England
1894,Aston Villa,England
1893,Sunderland AFC,England
1892,Sunderland AFC,England
1891,Everton FC,England
1890,Preston North End,England
1889,Preston North End,England
